# time of execution: 2022-07-22 16:23:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['[0.0, 0.0, 0.9863]', '[0.0, 0.0, 1.0]']
### sample paramters ###
# Sample: ['Iron', 'Gadolinium']
# S=[2, 3.5]
# mu_at=[2.2, 7.5][mu_B]
# nz=2
# dx=[2.856e-10, 3.6e-10]	dy=[2.856e-10, 3.6e-10]	dz=[2.856e-10, 5.8e-10]	[m]
# atoms per unit cell:[2, 7.5]
# asf=[0.035, 0.12]
# Jint=0[J]
# Hex=0[J]
# gep=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AC3B0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796450>][W/m^3/K]
# factor cv_el=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97AA4F0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796540>][J/m^3/K^2]
# cv_ph=[<scipy.interpolate.interpolate.interp1d object at 0x00000247B97A86D0>, <scipy.interpolate.interpolate.interp1d object at 0x00000247B9796860>][J/m^3/K]
# Tc=[1041, 293][K]
# T_Deb=[396, 160][K]
### pulse paramters ###
# peak power:6e+21[W/m^3]
# sigma=3.4e-14[s]
# delay=1e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]
1.47	[array([0.99999735]), array([0.99855485])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.48	[array([0.99999733]), array([0.99854519])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.49	[array([0.99999731]), array([0.99853553])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.5	[array([0.9999973]), array([0.99852587])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.51	[array([0.99999728]), array([0.99851622])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.52	[array([0.99999727]), array([0.99850657])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.53	[array([0.99999725]), array([0.99849692])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.54	[array([0.99999724]), array([0.99848727])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.55	[array([0.99999722]), array([0.99847762])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.56	[array([0.99999721]), array([0.99846798])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.57	[array([0.99999719]), array([0.99845834])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.58	[array([0.99999718]), array([0.9984487])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.59	[array([0.99999716]), array([0.99843906])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.6	[array([0.99999715]), array([0.99842943])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.61	[array([0.99999713]), array([0.9984198])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.62	[array([0.99999712]), array([0.99841017])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.63	[array([0.9999971]), array([0.99840054])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.64	[array([0.99999709]), array([0.99839092])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.65	[array([0.99999707]), array([0.99838129])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.66	[array([0.99999706]), array([0.99837167])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.67	[array([0.99999704]), array([0.99836206])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.68	[array([0.99999703]), array([0.99835244])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.69	[array([0.99999701]), array([0.99834283])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.7	[array([0.999997]), array([0.99833321])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.71	[array([0.99999698]), array([0.99832361])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.72	[array([0.99999697]), array([0.998314])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.73	[array([0.99999695]), array([0.99830439])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.74	[array([0.99999694]), array([0.99829479])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.75	[array([0.99999693]), array([0.99828519])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.76	[array([0.99999691]), array([0.99827559])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.77	[array([0.9999969]), array([0.998266])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
1.78	[array([0.99999688]), array([0.9982564])]	[array([100.]), array([100.])]	[array([100.]), array([100.])]
