# time of execution: 2022-08-03 17:58:17
#model:sd
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:[0.0, 0.0, 1.0]
### sample paramters ###
# Sample: Gadolinium
# S=3.5
# mu_at=7.5[mu_B]
# nx=1	ny=1	nz=1
# dx=3.6e-10	dy=3.6e-10	dz=5.8e-10	[m]
# atoms per unit cell:7.5
# asf=0.12
# sdrate=1.5e-10
# sdissrate=1e-13
# rhosd=1e-19
# lambda=1e+16[W/m^3/K]
# gep=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D32C0>[W/m^3/K]
# factor cv_el=<scipy.interpolate.interpolate.interp1d object at 0x000001E60F8D3C20>[J/m^3/K^2]
# cv_ph computed with Einstein model, T_Ein=0.75*160[K]
# R/g_ep = 4.673959588570301e-06[1/s]
# Tc=293[K]
# T_Deb=160[K]
### pulse paramters ###
# peak power:0.0[W/m^3]
# sigma=4.95e-14[s]
# delay=1e-10[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	E_tot [J/m^3]	E_el [J/m^3]	E_ph [J/m^3]	E_spin [J/m^3]	mu_s [J]
1.49	0.996036833291229	100.0	100.0	0.0	0.0	0.0	0.0	-2.3850629912454936e-23
1.4999999999999998	0.9960071162008673	100.0	100.0	0.0	0.0	0.0	0.0	-2.3828755233889063e-23
1.51	0.9959774261824353	100.0	100.0	0.0	0.0	0.0	0.0	-2.3806917836245525e-23
1.52	0.9959477632078219	100.0	100.0	0.0	0.0	0.0	0.0	-2.378511596222671e-23
1.53	0.9959181272489483	100.0	100.0	0.0	0.0	0.0	0.0	-2.3763348058051782e-23
1.5399999999999998	0.9958885182777748	100.0	100.0	0.0	0.0	0.0	0.0	-2.374161275014026e-23
1.55	0.9958589362662961	100.0	100.0	0.0	0.0	0.0	0.0	-2.3719908823884872e-23
1.56	0.9958293811865435	100.0	100.0	0.0	0.0	0.0	0.0	-2.369823520420768e-23
1.57	0.9957998530105838	100.0	100.0	0.0	0.0	0.0	0.0	-2.3676590939854335e-23
1.5799999999999998	0.9957703517105194	100.0	100.0	0.0	0.0	0.0	0.0	-2.3654975188323748e-23
1.5899999999999999	0.9957408772584866	100.0	100.0	0.0	0.0	0.0	0.0	-2.3633387203376997e-23
1.6	0.9957114296266573	100.0	100.0	0.0	0.0	0.0	0.0	-2.361182632361369e-23
1.61	0.9956820087872386	100.0	100.0	0.0	0.0	0.0	0.0	-2.3590291962036363e-23
1.6199999999999999	0.9956526147124726	100.0	100.0	0.0	0.0	0.0	0.0	-2.3568783597967438e-23
1.63	0.9956232473746359	100.0	100.0	0.0	0.0	0.0	0.0	-2.354730076895381e-23
1.64	0.9955939067460396	100.0	100.0	0.0	0.0	0.0	0.0	-2.3525843063443967e-23
1.6500000000000001	0.9955645927990298	100.0	100.0	0.0	0.0	0.0	0.0	-2.3504410115613178e-23
1.66	0.9955353055059869	100.0	100.0	0.0	0.0	0.0	0.0	-2.3483001599665128e-23
1.67	0.9955060448393254	100.0	100.0	0.0	0.0	0.0	0.0	-2.3461617224508308e-23
1.68	0.9954768107714942	100.0	100.0	0.0	0.0	0.0	0.0	-2.3440256730626085e-23
1.69	0.9954476032749761	100.0	100.0	0.0	0.0	0.0	0.0	-2.3418919885548186e-23
1.7	0.9954184223222892	100.0	100.0	0.0	0.0	0.0	0.0	-2.339760648142504e-23
1.71	0.9953892678859836	100.0	100.0	0.0	0.0	0.0	0.0	-2.337631633143076e-23
1.72	0.9953601399386466	100.0	100.0	0.0	0.0	0.0	0.0	-2.3355049267666705e-23
1.73	0.9953310384528963	100.0	100.0	0.0	0.0	0.0	0.0	-2.333380513899652e-23
1.74	0.9953019634013861	100.0	100.0	0.0	0.0	0.0	0.0	-2.33125838087219e-23
1.75	0.9952729147568032	100.0	100.0	0.0	0.0	0.0	0.0	-2.3291385153269972e-23
1.76	0.9952438924918682	100.0	100.0	0.0	0.0	0.0	0.0	-2.32702090604712e-23
1.77	0.9952148965793356	100.0	100.0	0.0	0.0	0.0	0.0	-2.3249055428166985e-23
1.7799999999999998	0.9951859269919933	100.0	100.0	0.0	0.0	0.0	0.0	-2.3227924162953493e-23
1.79	0.9951569837026633	100.0	100.0	0.0	0.0	0.0	0.0	-2.3206815179368734e-23
1.8	0.9951280666842011	100.0	100.0	0.0	0.0	0.0	0.0	-2.318572839907967e-23
1.81	0.9950991759094947	100.0	100.0	0.0	0.0	0.0	0.0	-2.3164663749944072e-23
1.8199999999999998	0.9950703113514672	100.0	100.0	0.0	0.0	0.0	0.0	-2.3143621164754056e-23
1.83	0.9950414729830729	100.0	100.0	0.0	0.0	0.0	0.0	-2.3122600581116412e-23
1.8399999999999999	0.9950126607773019	100.0	100.0	0.0	0.0	0.0	0.0	-2.3101601941344225e-23
1.85	0.9949838747071758	100.0	100.0	0.0	0.0	0.0	0.0	-2.308062519115478e-23
1.86	0.9949551147457497	100.0	100.0	0.0	0.0	0.0	0.0	-2.3059670279367831e-23
1.8699999999999999	0.9949263808661118	100.0	100.0	0.0	0.0	0.0	0.0	-2.3038737157944855e-23
1.8800000000000001	0.9948976730413845	100.0	100.0	0.0	0.0	0.0	0.0	-2.301782578141453e-23
1.89	0.994868991244722	100.0	100.0	0.0	0.0	0.0	0.0	-2.2996936106536634e-23
1.9	0.9948403354493112	100.0	100.0	0.0	0.0	0.0	0.0	-2.2976068092068586e-23
1.9100000000000001	0.9948117056283733	100.0	100.0	0.0	0.0	0.0	0.0	-2.2955221698474817e-23
1.92	0.9947831017551622	100.0	100.0	0.0	0.0	0.0	0.0	-2.293439688788634e-23
1.9300000000000002	0.994754523802964	100.0	100.0	0.0	0.0	0.0	0.0	-2.2913593623855755e-23
1.9399999999999997	0.9947259717450976	100.0	100.0	0.0	0.0	0.0	0.0	-2.2892811870782387e-23
